warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9344 val_bpb:4.1069 train_time:0ms step_avg:0.02ms
step:1/20000 train_loss:6.9353 train_time:490ms step_avg:489.94ms
step:2/20000 train_loss:16.3142 train_time:1008ms step_avg:503.90ms
step:3/20000 train_loss:7.9780 train_time:1557ms step_avg:519.14ms
step:4/20000 train_loss:6.8576 train_time:2107ms step_avg:526.71ms
step:5/20000 train_loss:7.0093 train_time:2656ms step_avg:531.28ms
step:6/20000 train_loss:7.1858 train_time:3206ms step_avg:534.36ms
step:7/20000 train_loss:6.4695 train_time:3755ms step_avg:536.47ms
step:8/20000 train_loss:6.2191 train_time:4305ms step_avg:538.12ms
step:9/20000 train_loss:6.1139 train_time:4854ms step_avg:539.37ms
step:10/20000 train_loss:5.9857 train_time:5404ms step_avg:540.37ms
step:20/20000 train_loss:5.1881 train_time:10888ms step_avg:544.42ms
step:30/20000 train_loss:4.5317 train_time:16373ms step_avg:545.78ms
step:40/20000 train_loss:4.1936 train_time:21859ms step_avg:546.47ms
step:50/20000 train_loss:4.0082 train_time:27344ms step_avg:546.89ms
step:60/20000 train_loss:3.7447 train_time:32829ms step_avg:547.15ms
step:70/20000 train_loss:3.6790 train_time:38314ms step_avg:547.34ms
step:80/20000 train_loss:3.5845 train_time:43798ms step_avg:547.48ms
step:90/20000 train_loss:3.3931 train_time:49282ms step_avg:547.58ms
step:100/20000 train_loss:3.3251 train_time:54765ms step_avg:547.65ms
step:110/20000 train_loss:3.1875 train_time:60250ms step_avg:547.73ms
step:120/20000 train_loss:3.1538 train_time:65735ms step_avg:547.79ms
step:130/20000 train_loss:3.1664 train_time:71219ms step_avg:547.84ms
step:140/20000 train_loss:3.0072 train_time:76703ms step_avg:547.88ms
step:150/20000 train_loss:3.0569 train_time:82187ms step_avg:547.91ms
step:160/20000 train_loss:2.9648 train_time:87672ms step_avg:547.95ms
step:170/20000 train_loss:3.0628 train_time:93157ms step_avg:547.98ms
step:180/20000 train_loss:2.8934 train_time:98642ms step_avg:548.01ms
step:190/20000 train_loss:2.9712 train_time:104127ms step_avg:548.03ms
step:200/20000 train_loss:2.7991 train_time:109610ms step_avg:548.05ms
step:210/20000 train_loss:2.8176 train_time:115095ms step_avg:548.07ms
step:220/20000 train_loss:2.9975 train_time:120579ms step_avg:548.08ms
step:230/20000 train_loss:2.7729 train_time:126063ms step_avg:548.10ms
step:240/20000 train_loss:2.7685 train_time:131547ms step_avg:548.11ms
